accuracy,communication_rounds,dpMode,foldPrivacytest,foldTest,labelColumn,noiseScale,numClients,status,testnum,C,delta,epsilon,L,alpha,lambda_,max_iter,tolerance
0.7333333333333333,5,noDP,90|119,60|89,target,None,2,finished,201_644562281,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7333333333333333,5,noDP,90|119,60|89,target,None,2,finished,202_956334658,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,90|119,60|89,target,None,4,finished,203_325157096,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,90|119,60|89,target,None,4,finished,204_885079035,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,90|119,60|89,target,None,4,finished,205_685978796,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,90|119,60|89,target,None,4,finished,206_324345646,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,90|119,60|89,target,None,4,finished,207_163693126,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,90|119,60|89,target,None,4,finished,208_927072921,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,90|119,60|89,target,None,4,finished,209_573163838,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,90|119,60|89,target,None,4,finished,210_257369845,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,90|119,60|89,target,None,4,finished,211_58342286,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.7142857142857143,5,noDP,90|119,60|89,target,None,4,finished,212_986079926,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.8,5,noDP,90|119,60|89,target,None,6,finished,213_732674029,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
0.8,5,noDP,90|119,60|89,target,None,6,finished,214_929562254,1,0.0013333333333333333,0.1,0.2,0.001,0.01,100,1e-05
